22@s.s@Tennis@s.s@8058@s.s@A. Van Uytvanck@s.s@0
22@s.s@Tennis@s.s@8060@s.s@S. Aoyama@s.s@0
22@s.s@Tennis@s.s@8061@s.s@E. Shibahara@s.s@0
22@s.s@Tennis@s.s@8084@s.s@A. Kontaveit@s.s@0
22@s.s@Tennis@s.s@8082@s.s@Y. Wang@s.s@0
22@s.s@Tennis@s.s@8022@s.s@A. Muhammad@s.s@0
22@s.s@Tennis@s.s@8020@s.s@A. Marshall@s.s@0
22@s.s@Tennis@s.s@8019@s.s@A. Bozovic@s.s@0
22@s.s@Tennis@s.s@8017@s.s@A. Sasnovich@s.s@0
22@s.s@Tennis@s.s@8016@s.s@V. Kuzmova@s.s@0
22@s.s@Tennis@s.s@8014@s.s@Y. Putintseva@s.s@0
